Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 18.48     53.25    53.25    62736     0.00     0.00  gu_sync()
 14.16     94.04    40.80    29114     0.00     0.00  sceMp3Aac_decode
 13.22    132.12    38.08   748139     0.00     0.00  PMC_FONT::print(char const*, float, float, float, int)
  9.60    159.78    27.66    62734     0.00     0.00  show_fps
  8.88    185.38    25.60    62913     0.00     0.00  Pmc_Ctrl::read()
  6.73    204.76    19.38                             sceWma_decode
  6.47    223.40    18.65    44933     0.00     0.00  av_malloc
  4.60    236.66    13.25                             ffmpegAdec_decode
  1.60    241.27     4.61    62734     0.00     0.00  print_time(float, float, float, unsigned int, unsigned int, unsigned int)
  1.36    245.17     3.90   564109     0.00     0.00  image_vertex* gu_allocVert<image_vertex>(int)
  1.22    248.70     3.52        7     0.50     0.78  tga_readPixelsBuf(int, Pmc_Image*, TARGAHEAD*)
  0.87    251.21     2.51    64484     0.00     0.00  PMC_FONT::printf(float, float, char const*, ...)
  0.86    253.67     2.46    62734     0.00     0.00  print_date(float, float, float, unsigned int, unsigned int, unsigned int)
  0.76    255.87     2.20   125222     0.00     0.00  image_vertex* gu_allocVertC<image_vertex>(int)
  0.68    257.82     1.96   689345     0.00     0.00  Pmc_Image::isValid()
  0.66    259.73     1.90   583896     0.00     0.00  PMC_FONT::set_style(float, unsigned int, unsigned int, unsigned int)
  0.65    261.60     1.87    41074     0.00     0.00  PMC_PLAYER::get_time()
  0.62    263.37     1.77   136347     0.00     0.00  shape_vertex* gu_allocVert<shape_vertex>(int)
  0.58    265.05     1.68       15     0.11     0.11  PMC_PLAYER::close()
  0.53    266.59     1.54   125468     0.00     0.00  battery_percent
  0.51    268.05     1.47   287462     0.00     0.00  PMC_PLAYER::get_str(int)
  0.49    269.47     1.42   609900     0.00     0.00  RGB(unsigned char, unsigned char, unsigned char, unsigned char)
  0.41    270.65     1.18    40187     0.00     0.00  PMC_PLAYER::get_percentRemaining()
  0.40    271.80     1.15   404230     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::size() const
  0.40    272.94     1.14   554098     0.00     0.00  RGBA8(unsigned char, unsigned char, unsigned char, unsigned char)
  0.36    273.98     1.04        1     1.04     1.04  Pmc_Ctrl::Pmc_Ctrl()
  0.34    274.95     0.97   564109     0.00     0.00  Pmc_ImageTile::draw(short, short)
  0.32    275.89     0.93    53542     0.00     0.00  AUDIO_DECODERS::get_int(int)
  0.28    276.70     0.81   295675     0.00     0.00  PMC_FONT::get_ySize()
  0.28    277.50     0.80    82132     0.00     0.00  pmc_itoa
  0.28    278.29     0.79   554098     0.00     0.00  BGRA8(unsigned char, unsigned char, unsigned char, unsigned char)
  0.26    279.04     0.75   188381     0.00     0.00  DIR_ENTRY::operator()() const
  0.24    279.72     0.68    26138     0.00     0.00  AUDIO_DECODERS::decode(short*, AVPacket*, int)
  0.22    280.36     0.64      168     0.00     0.00  pmc_avio_seek(void*, long long, int)
  0.21    280.96     0.61   374646     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::operator[](unsigned int)
  0.20    281.55     0.59        5     0.12     0.12  sceWma_open
  0.18    282.06     0.51   199921     0.00     0.00  DIR_ENTRY::isDir() const
  0.17    282.56     0.50     7655     0.00     0.00  PMC_PLAYER::ffaudio_callback(void*, int&, AVPacket&)
  0.17    283.04     0.48        7     0.07     0.88  load_tga(char const*, bool)
  0.13    283.43     0.39    62736     0.00     0.00  gu_end()
  0.13    283.79     0.36   205330     0.00     0.00  PMC_FONT::get_height()
  0.12    284.14     0.35   124351     0.00     0.00  Pmc_ImageTile::draw_strip(short, short)
  0.10    284.42     0.28     3321     0.00     0.00  DIR_ENTRY::DIR_ENTRY(DIR_ENTRY const&)
  0.09    284.68     0.26   123564     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::base() const
  0.08    284.92     0.24   123564     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::__normal_iterator(DIR_ENTRY const* const&)
  0.07    285.12     0.20        3     0.07     0.07  __gnu_cxx::new_allocator<NEEDED_EXT>::deallocate(NEEDED_EXT*, unsigned int)
  0.06    285.30     0.18    41066     0.00     0.00  draw_fillRect(unsigned int, int, int, int, int)
  0.06    285.47     0.16       14     0.01     0.01  get_imageSize(unsigned int, unsigned int, bool)
  0.05    285.62     0.16    61782     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::empty() const
  0.05    285.78     0.16        1     0.16     0.82  PMC_SETTINGS::refresh()
  0.05    285.93     0.15       14     0.01     0.01  NEEDED_EXT::NEEDED_EXT(NEEDED_EXT const&)
  0.05    286.08     0.15    95281     0.00     0.00  draw_colorRect(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int)
  0.05    286.23     0.15        7     0.02     0.02  sceMp3Aac_open
  0.04    286.36     0.13    62734     0.00     0.00  show_topbar(char const*)
  0.04    286.48     0.12       11     0.01     0.01  int pmc_min<int>(int, int)
  0.04    286.60     0.12    61782     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::begin() const
  0.04    286.71     0.11    20459     0.00     0.00  PMC_LIST::show_scroll()
  0.04    286.81     0.11    61782     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::end() const
  0.04    286.92     0.10    10879     0.00     0.00  PMC_LIST::scroll_size(unsigned int)
  0.03    287.02     0.10        5     0.02     0.02  void std::_Destroy<NEEDED_EXT*>(NEEDED_EXT*, NEEDED_EXT*)
  0.03    287.11     0.10    10879     0.00     0.00  PMC_LIST::scroll_pos(unsigned int)
  0.03    287.20     0.09    61782     0.00     0.00  bool __gnu_cxx::operator==<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >(__gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&, __gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&)
  0.03    287.29     0.09       45     0.00     0.01  push_folder(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, char const*)
  0.03    287.37     0.08    42868     0.00     0.00  AUDIO_DECODERS::get_str(int)
  0.03    287.45     0.08        1     0.08     0.08  PMC_FONT::PMC_FONT(char const*, unsigned int)
  0.02    287.52     0.07        4     0.02     0.07  std::_Vector_base<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_deallocate(NEEDED_EXT*, unsigned int)
  0.02    287.58     0.06       45     0.00     0.00  DIR_ENTRY::DIR_ENTRY()
  0.02    287.63     0.05     5753     0.00     0.00  alphabetical_cmp
  0.02    287.68     0.05    20551     0.00     0.00  void PMC_LIST::print<DIR_ENTRY>(unsigned int, unsigned int, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&)
  0.02    287.72     0.05        1     0.05   193.13  main
